Species Common Name,Cause of Animal Health Status,Total Animals 2010,Total Animals 2011,Total Animals 2012,Total Animals 2013,Total Animals 2014,Total Animals 2015,Total Animals 2016,Total Animals 2017,Total Animals 2018,Total Animals 2019,Total Animals 2020,Total Animals 2021
Hoary Bat,Collision,,,,,,,,1,,,,
Hoary Marmot,Collision,,1,,,1,,1,3,1,1,1,2
Hoary Marmot,Entangle-Entrapment,,,,,,,,,,8,,3
Hooded Merganser,Entangle-Entrapment,,,,,,,,,1,,,
Horned Grebe,Entangle-Entrapment,,,,15,,,,,,,,
House Sparrow,Collision,,,,,,,,,,,,2
Jackrabbit,Collision,,,,,1,,,1,,,,
Little Brown Myotis,Collision,,,,,,,,,,,1,2
Little Brown Myotis,Entangle-Entrapment,,,,,,,,,,1,2,182
Long-eared Owl,Collision,,,1,1,,,,1,,,,
Long-toed Salamander,Collision,,,,,,,,,1,2,,
Lynx,Collision,1,2,1,3,,1,1,2,,2,1,2
Magpie,Collision,1,1,,1,,1,,3,,,,2
Magpie,Entangle-Entrapment,,,2,,,,,,1,,,1
Mallard,Collision,1,1,5,,4,,3,,,,1,
Mallard,Entangle-Entrapment,,,,,,,,,1,,,
Marten,Collision,1,4,6,10,8,12,4,,8,12,12,6
Marten,Entangle-Entrapment,2,1,1,,,,,1,3,5,4,
Marten,Management Destruction,,,,,,,,,,1,1,1
Massasauga,Collision,10,2,,,,6,6,,,,,
Merlin,Collision,,,,,,1,1,1,,1,,1
Mink,Collision,,,,,,1,1,1,1,1,1,3
Moose,Collision,36,30,48,29,24,21,24,23,22,24,40,25
Moose,Entangle-Entrapment,,,,,,1,,1,,,1,
Moose,Hunting - Trapping,,,1,2,1,1,1,,,,,1
Moose,Management Destruction,,,1,1,,1,,,,,,
Mountain Goat,Collision,1,3,4,3,8,18,8,4,6,8,5,6
Mountain Goat,Entangle-Entrapment,,,,,,,,,,2,,1
Mountain Goat,Management Destruction,,,,,,,,,,,1,
Mule Deer,Collision,50,46,51,22,29,33,23,42,32,29,29,43
Mule Deer,Entangle-Entrapment,2,1,1,1,,1,1,,,,,
Mule Deer,Management Destruction,3,3,6,,,,,3,3,3,4,5
Muskrat,Collision,,,,,1,1,2,1,,1,3,
Muskrat,Entangle-Entrapment,,,,,,,4,,,,,
Mute Swan,Entangle-Entrapment,,,,1,,,,,,,,
Newfoundland Marten,Collision,,,,,,,,,1,,,
Northern Alligator Lizard,Collision,1,,,,,,,,,,,
Northern Flicker,Collision,,,,,,,,1,,,,
Northern Flicker,Entangle-Entrapment,,,1,,,,,,,,,
Northern Gannet,Entangle-Entrapment,,,,1,,,,,,,,
Northern Harrier,Collision,,,1,,,,,,,,,
Northern Hawk Owl,Collision,,,1,1,,,,,,,,
Northern Pygmy-Owl,Collision,,,,,,1,,,,,,
Northern Rough-winged Swallow,Poaching,4,,,,,,,,,,,
Northern Saw-whet Owl,Collision,,1,2,,1,,,1,3,1,1,
Northern Saw-whet Owl,Entangle-Entrapment,,,,,,,,1,,,,
Northern Waterthrush,Collision,,,,,,,,,,,1,
Opossum,Collision,,,,,,,,,,,,1
Orange-crowned Warbler,Collision,,,,,,,2,,,,,
Osprey,Collision,,,1,3,,,,,1,,,
Osprey,Entangle-Entrapment,,,,,,,1,,,3,,
Pacific Salmon,Hunting - Trapping,,,,,,,,,,,1,
Pine Siskin,Collision,,,,,,50,,,,,,
Plains Bison,Collision,2,,3,,,,2,1,,1,1,3
Plains Bison,Entangle-Entrapment,,1,,,,1,1,,,2,,
Plains Bison,Management Destruction,3,5,2,,1,,1,1,4,1,,2
Plains Bison,Poaching,,,,,,2,,,,,,
Plains Gartersnake,Collision,,,,11,5,,8,1,2,2,,12
Porcupine,Collision,7,6,8,9,15,10,15,18,11,8,17,17
Porcupine,Entangle-Entrapment,,,,,,,,,,1,,
Porcupine,Management Destruction,,,,2,,,,,,,,
Prairie Rattlesnake,Collision,,,2,,,2,1,4,2,2,1,
Prairie Rattlesnake,Entangle-Entrapment,,,,,,,,1,,,,
Raccoon,Collision,2,2,4,,4,3,3,2,2,1,3,8
Raccoon,Entangle-Entrapment,,,2,,,,1,,,,,
Raccoon,Management Destruction,,,2,5,10,,4,2,1,,6,
Raven,Collision,,2,,9,1,2,3,,2,3,3,3
Raven,Management Destruction,,,1,,,,,,,,,
Red Crossbill,Collision,,,,,,1275,,,,,,
Red Fox,Collision,7,3,4,6,14,8,7,11,4,11,6,13
Red Fox,Entangle-Entrapment,,,,,,,1,,,,,
Red Fox,Hunting - Trapping,,,,1,,,,,,,,
Red Fox,Management Destruction,1,,1,1,,,,,2,,,
Red Squirrel,Collision,1,1,2,,,1,,4,4,1,,5
Red Squirrel,Entangle-Entrapment,,,,,,,,,2,,,
Red Squirrel,Hunting - Trapping,,,1,,,,,,,,,
Red Squirrel,Management Destruction,,,,,,,4,,,1,,
Red-breasted Merganser,Entangle-Entrapment,,1,,11,,,,,,,,
Red-necked Grebe,Collision,,1,,,,,,,,,,
Red-tailed Hawk,Collision,,1,,2,1,3,,,,1,,
Red-winged Blackbird,Collision,,,,,,,,,1,,,
Richardson's Ground Squirrel,Collision,,,,,,3,5,19,11,6,6,
Richardson's Ground Squirrel,Management Destruction,,,2,,,,,,,,,
Richardson's Ground Squirrel,Poaching,,,,,,,2,,,,,
Ring-billed Gull,Entangle-Entrapment,,,,,,,,1,,,,
Ring-necked Pheasant,Collision,,,,,,,,2,,,,
River Otter,Collision,,,,3,,1,1,1,,2,,
Rock Pigeon,Collision,2,,,1,,,,,,,,
Rock Pigeon,Entangle-Entrapment,,,,,,,,1,,,,
Rock Pigeon,Management Destruction,,,,,,,,,,,,15
Ruby-throated Hummingbird,Entangle-Entrapment,,,,,,,,,1,,,
Ruffed Grouse,Collision,,2,1,1,,2,1,,4,6,,4
Rufous Hummingbird,Collision,,,,,,1,,,,,,
Sandhill Crane,Collision,,,1,,,,,,,,,
Semipalmated Plover,Collision,,,,,,,,,,,,1
Sharp-shinned Hawk,Collision,,,,,,,1,,,1,,
Short-eared Owl,Collision,,,,1,,,,,,,,1
Silver-haired Bat,Entangle-Entrapment,,,,,,,,1,,,,
Skunk,Collision,2,,1,1,7,2,5,1,1,3,,6
Snapping Turtle,Collision,,,10,,,,,,,,,
Snow Goose,Collision,,,,,,,,,1,,,
Snowshoe Hare,Collision,2,2,,7,3,4,5,8,4,4,4,7
Snowshoe Hare,Entangle-Entrapment,,1,,,,,,,,,,
Spruce Grouse,Collision,,,1,,,,,,,,,2
Steller Sea Lion,Management Destruction,,,,,1,,,,,,,
Swainson's Thrush,Collision,,,,,,,,,,,,1
Terrestrial Gartersnake,Entangle-Entrapment,,,,,,,,6,,,,
Thirteen-lined Ground Squirrel,Collision,,,,,,,,,,,1,
Tiger Salamander,Collision,,,,,,,,,,,,10
Unknown,Collision,2,,1,2,1,1,2,1,1,,,
Unknown bat,Collision,,,,,,,,,,,1,
Unknown bat,Entangle-Entrapment,,,,,,16,,1,,,2,4
Unknown bear,Collision,,,1,,,,,,,,,
Unknown bird,Collision,,,1,,,,2,,8,1,3,1
Unknown bird,Entangle-Entrapment,,,,,,,2,1,1,,,
Unknown bird,Management Destruction,,4,,,,,,,,,,
Unknown Bison,Management Destruction,,1,,,,,,,,,,
Unknown deer,Collision,10,14,4,8,3,4,6,1,6,3,6,7
Unknown deer,Entangle-Entrapment,1,1,,,,,,,,,,
Unknown deer,Hunting - Trapping,1,,,,1,2,,,1,,,
Unknown Duck,Collision,,1,7,,,,,,,,,1
Unknown Duck,Entangle-Entrapment,,,2,,,,,,,,1,
Unknown fish,Entangle-Entrapment,,,,24,,,,4,,,,
Unknown Frog or Toad,Collision,,,,,,,,,,,,2
Unknown grouse,Collision,,,,,,,,1,1,,,
Unknown gull,Collision,1,1,,,,1,,,2,,1,1
Unknown gull,Entangle-Entrapment,,,,,,,,,,,1,
Unknown hawk,Management Destruction,,,,1,,,,,,,,
Unknown mustelid,Collision,,,,1,,,,,,1,,
Unknown mustelid,Entangle-Entrapment,,,,,,,,,,1,,
Unknown Myotis bat,Collision,,,,,,,,,1,,,
Unknown Myotis bat,Entangle-Entrapment,,,,,,,,3,5,1,2,1
Unknown Myotis bat,Management Destruction,,,,,,,,,,,,1
Unknown owl,Collision,,,,1,,1,,,1,,,1
Unknown owl,Hunting - Trapping,,,,,,,1,,,,,
Unknown raptor,Collision,,,,,,,,,,2,1,1
Unknown rodent,Collision,,,,,,,,,1,1,1,
Unknown rodent,Entangle-Entrapment,,,,,10,,,,,,,
Unknown shrew,Entangle-Entrapment,,,,,9,,,,,,,
Unknown snake,Collision,9,,1,3,,,,,,,,
Unknown ungulate,Collision,,,,,,1,,,,,1,1
Varied Thrush,Collision,,,1,,,,,,,,,
Wasp,Management Destruction,19,34,10,15,1,121,1,,,,,2
Water Snake,Collision,,,,,,,,,,,,4
Western Painted Turtle,Collision,,,,,,1,,,,,,
Western Screech-Owl,Collision,,,1,,,,,,,1,,
Western Toad,Collision,,,,246,,33,,,1,1,6,39
Western Toad,Entangle-Entrapment,,,,,,,,,4,,,
White-crowned Sparrow,Collision,,,,,,,,,,1,,
White-tailed Deer,Collision,147,127,94,77,89,85,80,79,59,81,80,80
White-tailed Deer,Entangle-Entrapment,,,1,,1,,1,1,,1,,
White-tailed Deer,Hunting - Trapping,,,,,2,,,,,,,1
White-tailed Deer,Management Destruction,,,,1,,,,21,35,50,38,31
White-tailed Deer,Poaching,,,,,,1,,,,,,
White-winged Crossbill,Collision,,,,,,60,,,,,,
Wild Turkey,Collision,,,1,,,,1,,,,1,
Wild Turkey,Management Destruction,,,,,,,4,2,1,,,
Wilson's Snipe,Collision,,,,,,,,,,,1,
Wolf,Collision,10,8,12,11,8,3,8,4,3,5,9,8
Wolf,Hunting - Trapping,,,1,,,,7,1,,,,1
Wolf,Management Destruction,,2,1,,1,,2,1,,1,2,
Wolf,Poaching,,1,,,,,,,,,,
Wolverine,Collision,1,,1,,,1,,,,,1,
Wood Bison,Collision,4,3,4,3,1,1,4,7,4,2,3,6
Wood Bison,Entangle-Entrapment,,,,,,1,2,,,,,
Wood Bison,Hunting - Trapping,,,,,,,,,1,1,5,2
Wood Bison,Management Destruction,1,,,,3,,,,,,,
Wood Frog,Collision,,,,,,,,,,,,2
Woodchuck,Collision,,,1,1,,2,3,,1,2,,
Woodrat,Collision,,,,,,,,1,,1,,
Woodrat,Entangle-Entrapment,,,,,4,,,,2,1,,
Yellow Warbler,Collision,,,,1,,,,,2,,,
Yellow-bellied Racer,Collision,,,1,3,,,1,,,,,
Yellow-pine Chipmunk,Entangle-Entrapment,1,,,,,,,,,,,
