Species Common Name,Response Type,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021
Red Squirrel,Trap or snare,13,8,14,7,18,7,10,23,11,19,14,9
Red-necked Grebe,Trap or snare,,,1,,,,,,,,,
Red-tailed Chipmunk,Trap or snare,,1,,,,,,,,,,
Richardson's Ground Squirrel,Trap or snare,2,,1,1,2,1,2,,,,,
Rock Pigeon,Trap or snare,,2,,,,,2,,,,,
Ruby-crowned Kinglet,Trap or snare,,,,,,,,,,1,,
Ruby-throated Hummingbird,Trap or snare,,,,,,1,,,,,,
Skunk,Trap or snare,5,1,5,1,,1,2,3,1,1,,3
Song Sparrow,Trap or snare,1,,,,,,,,,,,
Tree Swallow,Trap or snare,,,,,,,1,,,,,
Unknown,Trap or snare,,,,1,1,1,1,,1,,,2
Unknown bat,Trap or snare,,,,,,,1,,,,,
Unknown bear,Trap or snare,,,,,,,2,,,,,
Unknown bird,Trap or snare,,,,,,1,,,2,,,
Unknown Mouse,Trap or snare,,,,,,,,,,,,1
Unknown mustelid,Trap or snare,,,,,,,,,,2,,
Unknown Myotis bat,Trap or snare,,,,,,,,,,,,1
Unknown rodent,Trap or snare,,,1,,2,,,,,1,1,
White-tailed Deer,Trap or snare,,,,1,,,,,,,,
Wolf,Trap or snare,,1,1,,,,,,,,,
Woodchuck,Trap or snare,1,,,,,,,,,,,
Woodrat,Trap or snare,23,18,13,11,18,13,11,35,29,11,25,27
Beaver,Unable to respond,,,,,,,,,,,,2
Bighorn Sheep,Unable to respond,,,,,,,,,3,6,2,10
Black Bear,Unable to respond,,,,,,,,15,45,128,30,49
Canada Goose,Unable to respond,,,,,,,,,,,,1
Cougar,Unable to respond,,,,,,,,,,,,2
Coyote,Unable to respond,,,,,,,,,,,2,
Crow,Unable to respond,,,,,,,,,,1,,1
Domestic Dog,Unable to respond,,,,,,,,,,,,1
Elk,Unable to respond,,,,,,,,3,14,30,9,13
Grizzly Bear,Unable to respond,,,,,,,,2,5,15,11,16
House Sparrow,Unable to respond,,,,,,,,,,1,,
Marten,Unable to respond,,,,,,,,,,,1,
Moose,Unable to respond,,,,,,,,1,3,11,4,2
Mountain Goat,Unable to respond,,,,,,,,,1,2,1,2
Mule Deer,Unable to respond,,,,,,,,,,,3,2
None,Unable to respond,,,,,,,,,,2,2,4
Raven,Unable to respond,,,,,,,,,,2,1,
Red Fox,Unable to respond,,,,,,,,1,2,4,12,2
Skunk,Unable to respond,,,,,,,,,,1,,1
Snowshoe Hare,Unable to respond,,,,,,,,,,,,1
Unknown,Unable to respond,,,,,,,,,,2,1,
Unknown bear,Unable to respond,,,,,,,,,1,7,,2
Unknown deer,Unable to respond,,,,,,,,,1,,,
Wasp,Unable to respond,,,,,,,,,,,1,
Wolf,Unable to respond,,,,,,,,,,,1,1
Bald Eagle,Warning signs,,,,,,,,1,,,,
Barn Swallow,Warning signs,,,,,,,,,,1,,
Big Brown Bat,Warning signs,,,,,,,,,1,,,
Bighorn Sheep,Warning signs,1,,2,,1,,,,1,,1,
Black Bear,Warning signs,30,52,37,24,27,40,28,31,55,68,25,46
Burrowing Owl,Warning signs,,,,,,,,,,,2,
Canada Goose,Warning signs,,,1,,,,,,,1,,
Caribou,Warning signs,,,,,,1,,,,1,,
Common Loon,Warning signs,,,,,,,,,,,,2
Cougar,Warning signs,3,10,10,2,5,6,3,2,1,4,2,12
Coyote,Warning signs,,1,,2,,2,2,1,2,,10,
Domestic Dog,Warning signs,,1,1,,1,1,,3,2,,1,
Elk,Warning signs,9,6,5,5,8,6,7,9,11,14,15,15
Great Blue Heron,Warning signs,,,,,,,,,,1,,
Greater Sage-grouse,Warning signs,,,,,,,,,,,,1
Grey Seal,Warning signs,,1,,,,,,,,,,
Grizzly Bear,Warning signs,17,9,8,16,16,34,23,27,30,17,29,9
Harbour seal,Warning signs,,,,,,,,2,,,2,1
Honey bee,Warning signs,,,,,,,,1,,,,
Long-eared Myotis,Warning signs,,,,,,,,,,1,,
Long-toed Salamander,Warning signs,,,,,,,,,1,,1,1
Moose,Warning signs,,,1,,,1,2,8,3,2,1,
Mountain Goat,Warning signs,2,,,,2,1,3,6,2,1,,2
Mule Deer,Warning signs,,,2,,,5,,2,1,3,1,3
None,Warning signs,1,2,2,,4,,7,1,2,5,3,6
Northern Elephant Seal,Warning signs,,,,,1,,,,2,,,1
Plains Bison,Warning signs,,,,,,1,1,7,5,,4,6
Porcupine,Warning signs,,,,,,,,1,,,,1
Prairie Rattlesnake,Warning signs,,,,,,,,,2,1,1,
Raccoon,Warning signs,,,,,1,,,1,,1,3,
Red Fox,Warning signs,1,,9,1,,1,1,,1,2,3,1
Red Squirrel,Warning signs,,,,,,,,1,,,,
Richardson's Ground Squirrel,Warning signs,,,,,,,1,2,,1,,
Sharp-shinned Hawk,Warning signs,,,,,,,,,1,,,
Skunk,Warning signs,,,,,1,,,,,,,
Unknown,Warning signs,,1,,1,1,1,,,,,,
Unknown bear,Warning signs,2,,4,3,2,2,3,1,2,,1,4
Unknown deer,Warning signs,,,,,,,,1,,,,
Unknown raptor,Warning signs,,,,,,,,,,,,1
Wasp,Warning signs,,,,2,,,1,1,1,,1,5
Western Toad,Warning signs,,,,,,,,,1,,1,
White-tailed Deer,Warning signs,,,,2,1,,1,22,35,50,40,31
Wolf,Warning signs,1,12,7,3,4,1,6,6,2,,8,2
Wolverine,Warning signs,,,,,,,,1,,,,
Wood Bison,Warning signs,,,,,1,,,1,1,1,,1
