Protected Heritage Area,Species Common Name,Activity Type,Total Animals 2010,Total Animals 2011,Total Animals 2012,Total Animals 2013,Total Animals 2014,Total Animals 2015,Total Animals 2016,Total Animals 2017,Total Animals 2018,Total Animals 2019,Total Animals 2020,Total Animals 2021
Kootenay National Park of Canada,Black Bear,Driving,2,3,1,1,2,1,,2,2,1,5,3
Kootenay National Park of Canada,Canada Goose,Driving,,,,,,,,,1,,,1
Kootenay National Park of Canada,Coyote,Driving,,2,1,1,,,,,,,,
Kootenay National Park of Canada,Domestic Cat,Driving,,,,,,,,,,,,1
Kootenay National Park of Canada,Elk,Driving,,1,2,1,,,,1,,1,,
Kootenay National Park of Canada,Great Grey Owl,Driving,,,,,,1,1,,1,,,
Kootenay National Park of Canada,Great Horned Owl,Driving,,,,,,,,1,,,1,
Kootenay National Park of Canada,Grizzly Bear,Driving,,,,,,,,,,,,1
Kootenay National Park of Canada,Hoary Marmot,Driving,,,,,,,,,1,,,
Kootenay National Park of Canada,Lynx,Driving,,,1,,,,,,,,1,1
Kootenay National Park of Canada,Marten,Driving,,,1,,,,1,,,,,
Kootenay National Park of Canada,Moose,Driving,11,7,10,6,1,3,2,3,1,1,6,3
Kootenay National Park of Canada,Mule Deer,Driving,7,6,3,6,1,5,4,4,4,3,6,7
Kootenay National Park of Canada,Porcupine,Driving,,,,,1,,,,,,,
Kootenay National Park of Canada,Red Fox,Driving,,,,,,,,2,,2,,2
Kootenay National Park of Canada,Skunk,Driving,,,,,,,1,,,,,1
Kootenay National Park of Canada,Snowshoe Hare,Driving,,,,,,,,,,1,,
Kootenay National Park of Canada,Unknown,Driving,,,,,1,,,,,,,
Kootenay National Park of Canada,Unknown deer,Driving,2,4,2,,,,,,1,,,1
Kootenay National Park of Canada,Unknown owl,Driving,,,,1,,,,,,,,
Kootenay National Park of Canada,Unknown ungulate,Driving,,,,,,,,,,,,1
Kootenay National Park of Canada,White-tailed Deer,Driving,36,32,20,23,16,16,13,9,6,5,4,9
Kootenay National Park of Canada,Wild Turkey,Driving,,,,,,,,,,,1,
Kootenay National Park of Canada,Wolf,Driving,1,2,,,2,1,,,2,,3,4
Kootenay National Park of Canada,Wolverine,Driving,,,1,,,,,,,,,
Kootenay National Park of Canada,Woodchuck,Driving,,,,,,,1,,,,,
Kouchibouguac National Park of Canada,Black Bear,Driving,1,,,,1,,2,,3,1,3,
Kouchibouguac National Park of Canada,Moose,Driving,1,,1,3,2,1,1,1,,,2,
Kouchibouguac National Park of Canada,Red Fox,Driving,,,,,,,,,,1,,
Kouchibouguac National Park of Canada,River Otter,Driving,,,,,,,,,,1,,
Kouchibouguac National Park of Canada,White-tailed Deer,Driving,2,,1,,1,,1,,,1,,1
Mount Revelstoke National Park of Canada,Bald Eagle,Driving,,,,,,,,,,,1,
Mount Revelstoke National Park of Canada,Beaver,Driving,,,,,,,,,2,,,
Mount Revelstoke National Park of Canada,Black Bear,Driving,,,,,4,5,2,1,,,2,2
Mount Revelstoke National Park of Canada,Common Gartersnake,Driving,,,,,,,1,,,,,
Mount Revelstoke National Park of Canada,Coyote,Driving,,,,1,,,,,,,,
Mount Revelstoke National Park of Canada,Crow,Driving,,,,,,,,1,,,,
Mount Revelstoke National Park of Canada,Elk,Driving,,,,,,,,1,,,,
Mount Revelstoke National Park of Canada,Great Blue Heron,Driving,,,,,,,,1,,,,
Mount Revelstoke National Park of Canada,Grizzly Bear,Driving,,1,,,,,,,,,,
Mount Revelstoke National Park of Canada,Hoary Marmot,Driving,,,,,,,1,2,,,,
Mount Revelstoke National Park of Canada,Marten,Driving,,,,,,,,,1,,,
Mount Revelstoke National Park of Canada,Mountain Goat,Driving,,1,,,2,7,1,,,,,2
Mount Revelstoke National Park of Canada,Mule Deer,Driving,,1,,,,,,1,,,1,1
Mount Revelstoke National Park of Canada,Muskrat,Driving,,,,,,,1,,,,,
Mount Revelstoke National Park of Canada,Northern Alligator Lizard,Driving,1,,,,,,,,,,,
Mount Revelstoke National Park of Canada,Porcupine,Driving,,,,,,,1,,,,,
Mount Revelstoke National Park of Canada,Raven,Driving,,,,,,,1,,,,,
Mount Revelstoke National Park of Canada,Red Squirrel,Driving,,,,,,,,1,,,,
Mount Revelstoke National Park of Canada,Unknown deer,Driving,,,,,,,1,,1,1,,1
Mount Revelstoke National Park of Canada,White-tailed Deer,Driving,1,,,,1,1,,,,,2,
Mount Revelstoke National Park of Canada,Woodchuck,Driving,,,1,1,,1,,,,,,
Pacific Rim National Park Reserve of Canada,Barred Owl,Driving,,,1,,1,1,,1,,,,
Pacific Rim National Park Reserve of Canada,Black Bear,Driving,1,1,,2,1,,2,,,,5,
Pacific Rim National Park Reserve of Canada,Black-tailed deer,Driving,3,2,,,2,1,,1,,,1,
Pacific Rim National Park Reserve of Canada,Bullfrog,Driving,,,,,,,,1,,,,
Pacific Rim National Park Reserve of Canada,Canada Goose,Driving,,,,,,,1,,,,,
Pacific Rim National Park Reserve of Canada,Domestic Cat,Driving,,,,,1,,,,,,,
Pacific Rim National Park Reserve of Canada,Greater White-fronted Goose,Driving,1,,,,,,,,,,,
Pacific Rim National Park Reserve of Canada,Little Brown Myotis,Driving,,,,,,,,,,,,1
Pacific Rim National Park Reserve of Canada,Mallard,Driving,,,,,,,,,,,1,
Pacific Rim National Park Reserve of Canada,Marten,Driving,,2,1,1,1,,1,,4,4,,2
Pacific Rim National Park Reserve of Canada,Mink,Driving,,,,,,1,1,,,1,1,3
Pacific Rim National Park Reserve of Canada,Northern Saw-whet Owl,Driving,,,1,,,,,,,,,
Pacific Rim National Park Reserve of Canada,Raccoon,Driving,1,,1,,2,,,,,1,,5
Pacific Rim National Park Reserve of Canada,Red Squirrel,Driving,,,,,,,,,,1,,1
Pacific Rim National Park Reserve of Canada,Ruffed Grouse,Driving,,,,,,,,,1,2,,1
Pacific Rim National Park Reserve of Canada,Unknown bird,Driving,,,,,,,1,,2,,1,
Pacific Rim National Park Reserve of Canada,Unknown Duck,Driving,,1,,,,,,,,,,1
Pacific Rim National Park Reserve of Canada,Unknown gull,Driving,1,1,,,,1,,,,,,
Pacific Rim National Park Reserve of Canada,Unknown owl,Driving,,,,,,,,,,,,1
Pacific Rim National Park Reserve of Canada,Western Screech-Owl,Driving,,,1,,,,,,,1,,
Point Pelee National Park of Canada,American Toad,Driving,,,1,1,,,,,,,,
Point Pelee National Park of Canada,Common Gartersnake,Driving,13,,7,4,,,,,,,,
Point Pelee National Park of Canada,DeKay's Brownsnake,Driving,22,,24,27,,,,,,,,
Point Pelee National Park of Canada,Eastern Foxsnake,Driving,2,,,,,,,,,,,
Point Pelee National Park of Canada,Golden-crowned Kinglet,Driving,,,,21,,,,,,,,
Point Pelee National Park of Canada,Great Blue Heron,Driving,,,1,,,,,,,,,
Point Pelee National Park of Canada,Great Horned Owl,Driving,,,,1,,,,,,,,
Point Pelee National Park of Canada,Opossum,Driving,,,,,,,,,,,,1
Point Pelee National Park of Canada,Raccoon,Driving,,,3,,2,,,,,,,
Point Pelee National Park of Canada,Red Squirrel,Driving,,,2,,,,,,,,,1
Point Pelee National Park of Canada,Snapping Turtle,Driving,,,10,,,,,,,,,
Point Pelee National Park of Canada,Unknown snake,Driving,9,,,3,,,,,,,,
Point Pelee National Park of Canada,Water Snake,Driving,,,,,,,,,,,,4
Point Pelee National Park of Canada,White-tailed Deer,Driving,,1,,,1,,,,,,,
Point Pelee National Park of Canada,Wild Turkey,Driving,,,1,,,,,,,,,
Prince Albert National Park of Canada,Bald Eagle,Driving,,1,,,,,,,,,,
Prince Albert National Park of Canada,Beaver,Driving,,,2,,,,,1,,,,
Prince Albert National Park of Canada,Black Bear,Driving,,,,,1,,,,,,,
Prince Albert National Park of Canada,Crow,Driving,,,,2,,,,,,,,
Prince Albert National Park of Canada,Elk,Driving,,,,1,,,,1,2,,,
Prince Albert National Park of Canada,Magpie,Driving,1,,,,,,,,,,,
Prince Albert National Park of Canada,Mallard,Driving,1,,,,,,,,,,,
