"month","year","park","ndvi_monthly_mean","scaled_mean_ndvi","residuals"
1,2000,"AULA",0.0208450738414739,0.510422536920737,0.179159305846086
2,2000,"AULA",0.141207964229024,0.570603982114512,1.00091897008106
4,2000,"AULA",0.170955865279469,0.585477932639734,1.24511864237362
6,2000,"AULA",0.176283144485518,0.588141572242759,1.53085572519795
7,2000,"AULA",0.0607305176758374,0.530365258837919,0.604430489308694
8,2000,"AULA",0.0060160653194941,0.503008032659747,0.0732886253290715
9,2000,"AULA",0.0182227492187048,0.509111374609352,0.0218229157518119
11,2000,"AULA",0.0676083445594015,0.533804172279701,0.385586060462502
12,2000,"AULA",0.0664366771612341,0.533218338580617,0.514622493694601
1,2001,"AULA",-0.0165616232324223,0.491719188383789,-0.134880698598138
2,2001,"AULA",0.0720868940796172,0.536043447039809,0.446942799141016
4,2001,"AULA",0.111494995827486,0.555747497913743,0.774624601281254
6,2001,"AULA",0.150765852171635,0.575382926085818,1.31294843178641
7,2001,"AULA",0.0199878095674506,0.509993904783725,0.264601198964623
8,2001,"AULA",-0.0155065401375411,0.492246729931229,-0.106079227963797
9,2001,"AULA",-0.0259831563036066,0.487008421848197,-0.331179746603151
11,2001,"AULA",0.0376090891888052,0.518804544594403,0.145404309428912
12,2001,"AULA",0.0182076647857921,0.509103832392896,0.116000005548813
1,2002,"AULA",0.13508748546383,0.567543742731915,1.09564927394933
2,2002,"AULA",-0.0187204809638209,0.49063975951809,-0.262568006429505
3,2002,"AULA",0.0286624814757613,0.514331240737881,0.0752966752828114
6,2002,"AULA",0.112652668607473,0.556326334303736,1.00889509377631
7,2002,"AULA",0.0240115742549239,0.512005787127462,0.301362352485712
8,2002,"AULA",-0.0189735465841198,0.49051322670794,-0.124677219391701
9,2002,"AULA",-0.0254308737029097,0.487284563148545,-0.308031669699681
11,2002,"AULA",-0.0181134263365265,0.490943286831737,-0.28647498900878
12,2002,"AULA",0.0145081173844424,0.507254058692221,0.0922395695978741
1,2003,"AULA",-0.020472606710824,0.489763696644588,-0.141154003374231
2,2003,"AULA",0.0689402028707471,0.534470101435374,0.487419706321977
4,2003,"AULA",-0.0383166246593152,0.480841687670342,-0.354153624213633
6,2003,"AULA",0.0899299246099595,0.54496496230498,0.850992366547991
7,2003,"AULA",-0.0369270434374291,0.481536478281285,-0.166460810788231
8,2003,"AULA",-0.0195895885690592,0.49020520571547,-0.101010864407474
9,2003,"AULA",-0.0286810095142883,0.485659495242856,-0.296166661198066
11,2003,"AULA",-0.0213727639443425,0.489313618027829,-0.275804523966119
12,2003,"AULA",-0.00241016691560899,0.498794916542195,-0.0186379765984032
1,2004,"AULA",-0.0168201955680417,0.491589902215979,-0.0840536216980112
2,2004,"AULA",0.0204719390230397,0.51023596951152,0.143642566827789
4,2004,"AULA",-0.0342363186037062,0.482881840698147,-0.265765728749629
6,2004,"AULA",0.103097822150196,0.551548911075098,0.989745224065884
7,2004,"AULA",-0.0197005466935813,0.490149726653209,-0.00100496860951304
8,2004,"AULA",-0.0166038499435846,0.491698075028208,-0.043380247694803
9,2004,"AULA",-0.0143874505665928,0.492806274716704,-0.137705597047206
11,2004,"AULA",-0.0236172523783073,0.488191373810846,-0.251682801532308
12,2004,"AULA",-0.0159021605833829,0.492048919708309,-0.0967026558697407
1,2005,"AULA",-0.015485154096131,0.492257422951934,-0.0624702895648706
2,2005,"AULA",0.0392339421331682,0.519616971066584,0.325409932527985
4,2005,"AULA",-0.0203288170774916,0.489835591461254,-0.115424130863176
6,2005,"AULA",0.0759009846016588,0.537950492300829,0.78377777348691
7,2005,"AULA",0.0473126962238639,0.523656348111932,0.552739857182425
8,2005,"AULA",-0.0143898993448289,0.492805050327586,-0.00926316004102863
9,2005,"AULA",-0.0236649949788182,0.488167502510591,-0.186392878137549
11,2005,"AULA",-0.0135469750172325,0.493226512491384,-0.145067433299787
